pixel_index,sample_n,t_s,x,y,line_index,is_line_start
151,5124,5.124,-0.2,0.0756646216768917,9,0
152,5154,5.154,-0.2,-0.0470347648261759,9,0
153,5184,5.184,-0.2,-0.169734151329243,9,0
154,5214,5.214,-0.2,-0.292433537832311,9,0
155,5244,5.244,-0.2,-0.415132924335378,9,0
156,5274,5.274,-0.2,-0.537832310838446,9,0
157,5304,5.304,-0.2,-0.660531697341513,9,0
158,5334,5.334,-0.2,-0.783231083844581,9,0
159,5364,5.364,-0.2,-0.905930470347648,9,0
160,5406,5.406,-0.333333333333333,-0.905930470347648,10,1
161,5436,5.436,-0.333333333333333,-0.783231083844581,10,0
162,5466,5.466,-0.333333333333333,-0.660531697341513,10,0
163,5496,5.496,-0.333333333333333,-0.537832310838446,10,0
164,5526,5.526,-0.333333333333333,-0.415132924335378,10,0
165,5556,5.556,-0.333333333333333,-0.292433537832311,10,0
166,5586,5.586,-0.333333333333333,-0.169734151329243,10,0
167,5616,5.616,-0.333333333333333,-0.0470347648261759,10,0
168,5646,5.646,-0.333333333333333,0.0756646216768917,10,0
169,5676,5.676,-0.333333333333333,0.198364008179959,10,0
170,5706,5.706,-0.333333333333333,0.321063394683027,10,0
171,5736,5.736,-0.333333333333333,0.443762781186094,10,0
172,5766,5.766,-0.333333333333333,0.566462167689161,10,0
173,5796,5.796,-0.333333333333333,0.689161554192229,10,0
174,5826,5.826,-0.333333333333333,0.811860940695297,10,0
175,5856,5.856,-0.333333333333333,0.934560327198364,10,0
176,5900,5.9,-0.466666666666667,0.934560327198364,11,1
177,5930,5.93,-0.466666666666667,0.811860940695297,11,0
178,5960,5.96,-0.466666666666667,0.689161554192229,11,0
179,5990,5.99,-0.466666666666667,0.566462167689161,11,0
180,6020,6.02,-0.466666666666667,0.443762781186094,11,0
181,6050,6.05,-0.466666666666667,0.321063394683027,11,0
182,6080,6.08,-0.466666666666667,0.198364008179959,11,0
183,6110,6.11,-0.466666666666667,0.0756646216768917,11,0
184,6140,6.14,-0.466666666666667,-0.0470347648261759,11,0
185,6170,6.17,-0.466666666666667,-0.169734151329243,11,0
186,6200,6.2,-0.466666666666667,-0.292433537832311,11,0
187,6230,6.23,-0.466666666666667,-0.415132924335378,11,0
188,6260,6.26,-0.466666666666667,-0.537832310838446,11,0
189,6290,6.29,-0.466666666666667,-0.660531697341513,11,0
190,6320,6.32,-0.466666666666667,-0.783231083844581,11,0
191,6350,6.35,-0.466666666666667,-0.905930470347648,11,0
192,6394,6.394,-0.6,-0.905930470347648,12,1
193,6424,6.424,-0.6,-0.783231083844581,12,0
194,6454,6.454,-0.6,-0.660531697341513,12,0
195,6484,6.484,-0.6,-0.537832310838446,12,0
196,6514,6.514,-0.6,-0.415132924335378,12,0
197,6544,6.544,-0.6,-0.292433537832311,12,0
198,6574,6.574,-0.6,-0.169734151329243,12,0
199,6604,6.604,-0.6,-0.0470347648261759,12,0
200,6634,6.634,-0.6,0.0756646216768917,12,0
201,6664,6.664,-0.6,0.198364008179959,12,0
202,6694,6.694,-0.6,0.321063394683027,12,0
203,6724,6.724,-0.6,0.443762781186094,12,0
204,6754,6.754,-0.6,0.566462167689161,12,0
205,6784,6.784,-0.6,0.689161554192229,12,0
206,6814,6.814,-0.6,0.811860940695297,12,0
207,6844,6.844,-0.6,0.934560327198364,12,0
208,6888,6.888,-0.733333333333333,0.934560327198364,13,1
209,6918,6.918,-0.733333333333333,0.811860940695297,13,0
210,6948,6.948,-0.733333333333333,0.689161554192229,13,0
211,6978,6.978,-0.733333333333333,0.566462167689161,13,0
212,7008,7.008,-0.733333333333333,0.443762781186094,13,0
213,7038,7.038,-0.733333333333333,0.321063394683027,13,0
214,7068,7.068,-0.733333333333333,0.198364008179959,13,0
215,7098,7.098,-0.733333333333333,0.0756646216768917,13,0
216,7128,7.128,-0.733333333333333,-0.0470347648261759,13,0
217,7158,7.158,-0.733333333333333,-0.169734151329243,13,0
218,7188,7.188,-0.733333333333333,-0.292433537832311,13,0
219,7218,7.218,-0.733333333333333,-0.415132924335378,13,0
220,7248,7.248,-0.733333333333333,-0.537832310838446,13,0
221,7278,7.278,-0.733333333333333,-0.660531697341513,13,0
222,7308,7.308,-0.733333333333333,-0.783231083844581,13,0
223,7338,7.338,-0.733333333333333,-0.905930470347648,13,0
224,7382,7.382,-0.866666666666667,-0.905930470347648,14,1
225,7412,7.412,-0.866666666666667,-0.783231083844581,14,0
226,7442,7.442,-0.866666666666667,-0.660531697341513,14,0
227,7472,7.472,-0.866666666666667,-0.537832310838446,14,0
228,7502,7.502,-0.866666666666667,-0.415132924335378,14,0
229,7532,7.532,-0.866666666666667,-0.292433537832311,14,0
230,7562,7.562,-0.866666666666667,-0.169734151329243,14,0
231,7592,7.592,-0.866666666666667,-0.0470347648261759,14,0
232,7622,7.622,-0.866666666666667,0.0756646216768917,14,0
233,7652,7.652,-0.866666666666667,0.198364008179959,14,0
234,7682,7.682,-0.866666666666667,0.321063394683027,14,0
235,7712,7.712,-0.866666666666667,0.443762781186094,14,0
236,7742,7.742,-0.866666666666667,0.566462167689161,14,0
237,7772,7.772,-0.866666666666667,0.689161554192229,14,0
238,7802,7.802,-0.866666666666667,0.811860940695297,14,0
239,7832,7.832,-0.866666666666667,0.934560327198364,14,0
240,7876,7.876,-1.0,0.934560327198364,15,1
241,7906,7.906,-1.0,0.811860940695297,15,0
242,7936,7.936,-1.0,0.689161554192229,15,0
243,7966,7.966,-1.0,0.566462167689161,15,0
244,7996,7.996,-1.0,0.443762781186094,15,0
245,8026,8.026,-1.0,0.321063394683027,15,0
246,8056,8.056,-1.0,0.198364008179959,15,0
247,8086,8.086,-1.0,0.0756646216768917,15,0
248,8116,8.116,-1.0,-0.0470347648261759,15,0
249,8146,8.146,-1.0,-0.169734151329243,15,0
250,8176,8.176,-1.0,-0.292433537832311,15,0
251,8206,8.206,-1.0,-0.415132924335378,15,0
252,8236,8.236,-1.0,-0.537832310838446,15,0
253,8266,8.266,-1.0,-0.660531697341513,15,0
254,8296,8.296,-1.0,-0.783231083844581,15,0
255,8326,8.326,-1.0,-0.905930470347648,15,0
